postId,a1,a2,b1,b2,c1,c2,processed,found,missed
4010,17,18,12,8,8,2,192,65,127
4011,22,17,10,9,3,2,228,63,165
3995,617,520,341,247,164,85,7140,1974,5166
4024,16,16,8,5,1,2,156,48,108
4064,495,343,234,188,93,105,5220,1458,3762
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
4036,208,121,123,80,29,34,2832,595,2237
4044,15,12,9,6,4,2,144,48,96
4051,11,10,11,8,7,2,132,49,83
4053,12,7,4,2,2,1,102,28,74
4056,439,425,349,252,175,58,5940,1698,4242
4058,536,488,394,308,212,59,6630,1997,4633
4067,197,169,111,74,48,42,2508,641,1867
4069,310,234,218,124,81,40,3648,1007,2641
6413,233,199,181,132,91,34,3252,870,2382
4184,441,316,244,146,82,79,4758,1308,3450
4098,222,196,154,130,67,51,3108,820,2288
4100,269,231,175,132,92,42,3498,941,2557
4103,589,501,404,274,160,84,8004,2012,5992
4124,8,6,5,2,3,3,102,27,75
4125,20,15,13,5,1,2,180,56,124
4129,12,12,9,8,5,5,174,51,123
4131,9,8,7,5,3,0,96,32,64
4133,8,9,9,6,4,3,138,39,99
4134,5,4,4,2,2,0,78,17,61
4136,12,10,10,6,4,0,114,42,72
4147,16,15,10,6,7,0,192,54,138
4151,155,113,69,47,30,23,1638,437,1201
4271,41,23,19,14,5,2,384,104,280
0,0,0,0,0,0,0,0,0,0
4158,8,7,7,7,5,3,108,37,71
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
4217,267,225,154,97,59,55,3078,857,2221
4190,5,4,2,1,3,2,42,17,25
4281,742,595,412,291,173,142,8664,2355,6309
4284,323,265,200,147,104,56,3864,1095,2769
4254,22,16,10,7,5,5,246,65,181
4255,12,9,6,2,1,1,186,31,155
4260,78,79,60,34,22,17,1158,290,868
4269,355,292,218,151,79,64,4164,1159,3005
4273,183,172,139,86,56,33,2250,669,1581
10374,200,194,150,104,68,34,2670,750,1920
4305,188,141,93,82,41,24,1998,569,1429
4307,8,7,2,2,3,1,60,23,37
4310,6,7,2,2,3,1,72,21,51
4311,1,2,2,2,1,1,24,9,15
4313,16,13,9,6,3,4,132,51,81
4316,3,4,4,3,1,0,54,15,39
4321,15,10,8,8,4,5,180,50,130
4325,7,9,8,5,2,2,108,33,75
4399,557,497,392,301,183,139,7494,2069,5425
4327,11,10,8,7,2,2,132,40,92
4334,156,129,89,68,45,26,2034,513,1521
4443,357,318,215,163,103,74,3606,1230,2376
4387,325,245,183,135,77,58,3684,1023,2661
4397,5,7,6,5,2,3,60,28,32
4401,6,5,5,3,1,3,72,23,49
