postId,l1,l2,l3,l4,l5,l6,processed,found,missed
13914,321,37,30,17,4,7,3150,416,2734
13926,18,1,0,1,0,0,162,20,142
0,0,0,0,0,0,0,0,0,0
13951,491,50,30,4,2,1,4590,578,4012
13955,10,2,2,0,1,0,102,15,87
13958,558,106,51,19,3,6,5664,743,4921
13962,74,18,14,9,4,2,972,121,851
13964,8,4,3,3,1,0,150,19,131
13966,76,9,6,2,0,0,744,93,651
13974,11,1,1,0,0,0,108,13,95
13976,15,3,1,0,0,0,138,19,119
13978,8,2,1,0,0,0,72,11,61
13981,6,2,1,0,0,0,54,9,45
13999,1344,201,126,52,9,9,13044,1741,11303
14001,2109,215,157,40,10,2,18564,2533,16031
14003,1587,181,136,59,30,12,15282,2005,13277
14005,2304,316,245,109,24,15,23064,3013,20051
14009,1304,158,106,47,20,23,12774,1658,11116
14011,1330,129,106,38,9,18,12258,1630,10628
14015,142,30,10,9,4,0,1890,195,1695
14017,280,32,31,10,5,6,3120,364,2756
14035,260,47,41,7,2,5,2766,362,2404
14037,16,2,3,0,0,0,138,21,117
14041,14,1,1,0,1,1,156,18,138
14051,253,39,17,15,0,1,2262,325,1937
14053,9,4,1,0,0,0,102,14,88
14065,139,21,19,1,1,2,1170,183,987
14068,23,3,1,0,0,0,168,27,141
14069,72,5,5,5,1,1,864,89,775
14073,130,13,14,5,3,3,2034,168,1866
14090,4,1,0,1,0,0,42,6,36
14091,12,2,3,0,0,0,84,17,67
14094,1478,199,159,78,23,39,14712,1976,12736
14096,1183,224,154,94,16,22,12462,1693,10769
14098,2230,311,312,158,28,31,21444,3070,18374
14100,1881,196,116,61,18,12,17964,2284,15680
14102,1092,168,129,57,19,11,12150,1476,10674
14104,1444,202,138,65,14,13,14112,1876,12236
14106,1443,142,108,47,17,34,14058,1791,12267
14108,1833,199,157,52,20,21,18648,2282,16366
14110,315,50,28,22,0,2,2964,417,2547
14115,204,18,16,5,3,2,2268,248,2020
14118,270,61,24,4,5,6,2778,370,2408
14122,12,0,0,1,0,0,96,13,83
14123,196,20,14,2,7,2,1806,241,1565
14128,12,0,0,1,0,0,96,13,83
14130,7,2,2,0,0,0,78,11,67
14148,9,0,0,1,1,0,96,11,85
14150,13,3,1,0,0,0,108,17,91
14152,12,4,2,0,0,0,120,18,102
14156,66,3,0,13,4,0,708,86,622
14178,291,27,14,4,2,6,2826,344,2482
14180,8,4,2,0,0,0,72,14,58
14181,13,1,0,0,0,0,108,14,94
14183,6,0,0,1,0,1,66,8,58
14188,387,51,40,14,10,7,4176,509,3667
14190,159,18,11,6,3,0,1518,197,1321
14199,6,1,1,0,0,0,66,8,58
14200,1502,155,163,63,33,25,16026,1941,14085
14202,1661,164,129,49,20,14,15894,2037,13857
14204,1756,166,115,30,13,16,18132,2096,16036
14206,1738,213,180,25,54,47,16962,2257,14705
14219,155,10,5,3,0,4,1488,177,1311
14224,531,62,49,8,21,3,4872,674,4198
14230,51,5,1,2,0,0,564,59,505
14235,16,3,3,0,0,0,138,22,116
14237,14,2,2,0,0,0,120,18,102
14240,17,1,0,0,1,0,138,19,119
14241,7,1,0,0,1,0,78,9,69
14242,88,10,5,1,2,0,678,106,572
14248,85,12,12,0,0,0,678,109,569
14250,214,40,32,14,2,2,2652,304,2348
14252,6,1,1,0,0,0,66,8,58
14253,10,0,0,2,0,0,126,12,114
14262,565,95,48,7,11,3,5424,729,4695
14269,2,1,0,0,0,0,36,3,33
14274,297,38,25,2,1,5,2910,368,2542
14295,1,0,0,0,0,0,24,1,23
14300,5,0,0,0,0,0,48,5,43
14302,293,48,40,16,5,5,2904,407,2497
14321,187,14,10,5,0,0,1698,216,1482
14323,1811,184,162,86,29,38,17982,2310,15672
14325,1049,163,148,63,8,36,11544,1467,10077
14327,1322,196,128,39,15,34,13248,1734,11514
14329,1152,178,128,50,16,33,12750,1557,11193
14331,1357,185,127,57,11,43,13530,1780,11750
14333,1937,241,171,68,26,46,19296,2489,16807
14335,1916,229,173,87,8,17,18624,2430,16194
14337,102,9,4,0,4,0,1314,119,1195
